AvgLatitude,AvgLongitude,Latitude_SW,Longitude_SW,Latitude_NE,Longitude_NE,City,County,State,Country,ISO_3166_2,SeverityScore,IncidentsTotal,IncidentsCar,IncidentsMPV,IncidentsLDT,IncidentsMDT,IncidentsHDT,IncidentsOther,Geohash
43.76477,-79.44068,43.76404,-79.44077,43.765409999999996,-79.43939,Toronto,,Ontario,Canada,CA-ON,0.0003,3,0,1,0,1,0,1,dpz8br1
43.64144,-79.45484,43.640440000000005,-79.45586999999999,43.64182,-79.4545,Toronto,,Ontario,Canada,CA-ON,0.0004,6,0,1,2,1,0,2,dpz2rbw
43.7171,-79.24176,43.71597,-79.24301,43.71735,-79.24164,Toronto,,Ontario,Canada,CA-ON,0.0002,3,0,0,1,1,0,1,dpz8sy3
43.67442,-79.36761,43.6734,-79.36798,43.67477,-79.36661,Toronto,,Ontario,Canada,CA-ON,0.0004,3,1,0,2,0,0,0,dpz83yw
43.653079999999996,-79.39756,43.6528,-79.39819,43.65417,-79.39681999999999,Toronto,,Ontario,Canada,CA-ON,0.0001,3,1,1,1,0,0,0,dpz836b
43.71563,-79.44534,43.7146,-79.44626,43.71597,-79.44489,Toronto,,Ontario,Canada,CA-ON,0.0003,4,2,0,1,1,0,0,dpz88nj
43.74149,-79.31511,43.74069,-79.3158,43.74207,-79.31442,Toronto,,Ontario,Canada,CA-ON,0.0001,3,0,0,0,1,0,2,dpz8g4u
43.789809999999996,-79.41807,43.788759999999996,-79.41879,43.79013,-79.41741999999999,Toronto,,Ontario,Canada,CA-ON,0.0003,4,1,0,0,2,0,1,dpz90g9
43.65101,-79.3757,43.65005,-79.37621999999999,43.65143,-79.37485,Toronto,,Ontario,Canada,CA-ON,0.0001,3,1,1,1,0,0,0,dpz83f2
43.72616,-79.40252,43.725590000000004,-79.40369,43.72696,-79.40231,Toronto,,Ontario,Canada,CA-ON,0.0001,3,1,0,0,1,0,1,dpz8c0h
43.612390000000005,-79.56317,43.6116,-79.56436,43.61298,-79.56299,Toronto,,Ontario,Canada,CA-ON,0.0001,3,0,1,1,0,0,1,dpz2j7r
43.74135,-79.41505,43.74069,-79.41605,43.74207,-79.41467,Toronto,,Ontario,Canada,CA-ON,0.0001,3,0,0,1,1,0,1,dpz8bfg
43.71521,-79.44833,43.7146,-79.44901,43.71597,-79.44763,Toronto,,Ontario,Canada,CA-ON,0.0001,3,2,1,0,0,0,0,dpz88n5
43.65166,-79.387,43.65143,-79.38721,43.6528,-79.38583,Toronto,,Ontario,Canada,CA-ON,0.0002,4,0,1,2,1,0,0,dpz83d8
43.68646,-79.59683000000001,43.685759999999995,-79.59732,43.687129999999996,-79.59595,Toronto,,Ontario,Canada,CA-ON,0.0006,3,1,1,1,0,0,0,dpz2s8z
43.66596,-79.36864,43.66516,-79.36935,43.66653,-79.36798,Toronto,,Ontario,Canada,CA-ON,0.0002,3,0,1,2,0,0,0,dpz83vj
43.69975,-79.42258000000001,43.699490000000004,-79.42291,43.70087,-79.42154000000001,Toronto,,Ontario,Canada,CA-ON,0.0008,3,1,2,0,0,0,0,dpz88eq
43.77975,-79.23304,43.779140000000005,-79.2334,43.78052,-79.23203000000001,Toronto,,Ontario,Canada,CA-ON,0.0003,5,0,2,2,0,0,1,dpz9j1b
43.71513,-79.41208,43.7146,-79.4133,43.71597,-79.41193,Toronto,,Ontario,Canada,CA-ON,0.0001,3,0,1,0,2,0,0,dpz88yj
43.76334,-79.40866,43.76266,-79.40918,43.76404,-79.40781,Toronto,,Ontario,Canada,CA-ON,0.0005,4,1,1,1,0,0,1,dpz8cnb
43.694390000000006,-79.40853,43.693999999999996,-79.40918,43.695370000000004,-79.40781,Toronto,,Ontario,Canada,CA-ON,0.0003,3,0,3,0,0,0,0,dpz8942
43.69618,-79.46885,43.695370000000004,-79.4696,43.69675,-79.46823,Toronto,,Ontario,Canada,CA-ON,0.0003,3,1,0,0,2,0,0,dpz2xds
43.70003,-79.51653,43.699490000000004,-79.51767,43.70087,-79.5163,Toronto,,Ontario,Canada,CA-ON,0.0005,5,0,2,2,1,0,0,dpz2we3
43.72891,-79.28345999999999,43.72833,-79.28421,43.72971,-79.28284000000001,Toronto,,Ontario,Canada,CA-ON,0.0001,3,1,0,1,0,0,1,dpz8gbe
43.64283,-79.39073,43.64182,-79.39133000000001,43.643190000000004,-79.38995,Toronto,,Ontario,Canada,CA-ON,0.0001,3,0,1,0,1,0,1,dpz832v
43.61957,-79.52611999999999,43.61847,-79.52728,43.61984,-79.52591,Toronto,,Ontario,Canada,CA-ON,0.0002,3,2,0,0,1,0,0,dpz2nkd
43.65682,-79.34975,43.65555,-79.35013000000001,43.65692,-79.34875,Toronto,,Ontario,Canada,CA-ON,0.0001,3,1,1,0,1,0,0,dpz8677
43.6684,-79.37005,43.66791,-79.37073000000001,43.66928,-79.36935,Toronto,,Ontario,Canada,CA-ON,0.0002,4,2,0,1,1,0,0,dpz83vs
43.660379999999996,-79.3867,43.65967,-79.38721,43.66104,-79.38583,Toronto,,Ontario,Canada,CA-ON,0.0002,3,2,1,0,0,0,0,dpz83s0
43.6668,-79.49941,43.66653,-79.49982,43.66791,-79.49844,Toronto,,Ontario,Canada,CA-ON,0.0003,3,0,1,0,0,0,2,dpz2qvq
43.76907,-79.36446,43.768159999999995,-79.36523000000001,43.769529999999996,-79.36386,Toronto,,Ontario,Canada,CA-ON,0.0009,5,1,3,0,0,0,1,dpz8fpb
43.62879,-79.47977,43.62808,-79.48059,43.629459999999995,-79.47922,Toronto,,Ontario,Canada,CA-ON,0.0001,3,1,0,0,1,0,1,dpz2pqk
43.70977,-79.33444,43.709109999999995,-79.33502,43.71048,-79.33365,Toronto,,Ontario,Canada,CA-ON,0.0001,4,0,1,1,0,0,2,dpz8dtn
43.64128,-79.5339,43.640440000000005,-79.53415,43.64182,-79.53278,Toronto,,Ontario,Canada,CA-ON,0.0003,3,0,0,1,2,0,0,dpz2q0t
43.7083,-79.39864,43.70773,-79.39957,43.709109999999995,-79.39819,Toronto,,Ontario,Canada,CA-ON,0.0007,7,3,3,0,0,0,1,dpz89hz
43.655879999999996,-79.3645,43.65555,-79.36523000000001,43.65692,-79.36386,Toronto,,Ontario,Canada,CA-ON,0.0001,3,1,1,0,0,0,1,dpz8652
43.75116,-79.54693,43.75031,-79.54788,43.75168,-79.54651,Toronto,,Ontario,Canada,CA-ON,0.0001,3,0,1,1,1,0,0,dpz2vue
43.64905,-79.54885999999999,43.64868,-79.54926,43.65005,-79.54788,Toronto,,Ontario,Canada,CA-ON,0.0002,5,0,1,0,3,0,1,dpz2mf4
43.79371,-79.23952,43.79288,-79.24025999999999,43.79425,-79.23889,Toronto,,Ontario,Canada,CA-ON,0.0003,3,1,0,0,0,0,2,dpz9hu7
43.6757,-79.40285,43.67477,-79.40369,43.67615,-79.40231,Toronto,,Ontario,Canada,CA-ON,0.0002,3,1,2,0,0,0,0,dpz83nu
43.74138,-79.31900999999999,43.74069,-79.31992,43.74207,-79.31854,Toronto,,Ontario,Canada,CA-ON,0.0001,3,0,2,1,0,0,0,dpz8g4c
43.63397,-79.43016999999999,43.63358,-79.43115,43.63495,-79.42978000000001,Toronto,,Ontario,Canada,CA-ON,0.0005,3,1,1,1,0,0,0,dpz80x2
43.63747,-79.43438,43.63632,-79.43526999999999,43.6377,-79.4339,Toronto,,Ontario,Canada,CA-ON,0.0002,3,1,1,1,0,0,0,dpz80rv
43.66445,-79.45827,43.663790000000006,-79.45862,43.66516,-79.45724,Toronto,,Ontario,Canada,CA-ON,0.0001,3,0,2,1,0,0,0,dpz2ruu
